article,pub_date,nltk_score,source
$19.9K



MAF FREEDOM PAC

$19.7K



AMERICANS IN CONTACT PAC

$19.1K



SIERRA CLUB

$19K



AMERICANS FOR A BETTER WAY FORWARD

$19K



PHYSICIANS FOR A RESPONSIBLE GOVERNMENT, INC.

$18.8K



LIFE AND MARRIAGE MOVEMENT INC.

$18.5K



SAM VS THE MACHINE

$18.3K



PLANNED PARENTHOOD VOTES NORTHWEST

$18K



WASHINGTON STATE DEMOCRATIC CENTRAL COMMITTEE

$17.9K



HAWAII REPUBLICAN PARTY

$17.7K



SECURE ARIZONA PAC

$17.5K



IMMIGRANT'S LIST CIVIC ACTION INC

$17.4K



MADISON ACTION FUND; THE

$17.4K



PIVOT POINT WASHINGTON

$17.4K



NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY AND MEDICARE

$17.1K



BULL MOOSE SPORTSMEN'S ALLIANCE ACTION FUND

$17K



ILLINOIS IMMIGRANT ACTION

$16.5K



VOTE KIDS ACTION FUND

$16K



